상호명,주소,대표메뉴,한줄코멘트,가격대,영업시간,휴무일,몰리는시간
허니모먼트,,,,,,,
소솜,,,,,,,
카페이이오,,,,,,,
버터컵,,,,,,,
젤리포에,,,,,,,
평생직장커피,,,,,,,
윈터커피로스터스,,,,,,,
뮤제,대전 중구 대흥로121번길 44,,,,11:00~22:00,수요일,
케이크 퍼즐,,,,,,,
챔프스페이스 커피로스터즈,,,,,,,
관저당,대전 서구 구봉산북로21번길 11,샌드위치·빵,,,10:00~17:00,,
도안양과점,,,,,,,
리사앤플라워,,,,,,,
프로틴팩토리,,,,,,,
윤달,,,,,,,
파티세리 율,,,,,,,
3월의 머무름,,,,,,,
오드비베이크샵,,,,,,,
클로버 포 유,,,,,,,
이케엔솜,,,,,,,
정동문화사,,,,,,,
오늘의빵집,,,,,,,
카페비포유,,,,,,,
빵순상점,,,,,,,
블라썸케이크,,,,,,,
역전빵,,,,,,,
커피노리,,,,,,,
토우,,,,,,,
마들렌과자점,대전 유성구 은구비서로23번길 9,애플파이·마티니,,,10:00~22:00,,
써틴브레드,,,,,,,
푸우딩,,,,,,,
이엘베이킹,,,,,,,
언니네빵집,,,,,,,
안가네대추빵,,,,,,,
팡파레과자점,,,,,,,
리리컬디저트,,,,,,,
다인,,,,,,,
버터포인트,,,,,,,
호두정,,,,,,,
보보로베이커리,,,,,,,
원두집,,,,,,,
르뺑99-1,,,,,,,
오픈오븐,,,,,,,
콜마르브레드,대전 유성구 죽동로297번길 12(죽동본점),,,,08:00~22:00,,
손수베이커리,대전 서구 관저동로 42,,,,08:00~22:00,,
레시피,,,,,,,
하레하레,대전 서구 둔산로 155(둔산본점),쌀하레치즈·마시멜로우속갸또,,,08:00~21:00,,
성심당,대전 중구 대종로480번길 15(은행동본점),튀김소보로·초코튀소·명란바게트,,,08:00~22:00(연장 가능),,
촉촉디저트 잼살롱,,,,,,,
쿠키랜드,,,,,,,
달달보드레,,,,,,,
몰랑몰랑베이커리,,,,,,,
슬로우브레드,,,,,,,
한스브레드,,,,,,,
앙금엉금케이크,,,,,,,
에코브레드하우스,,,,,,,
썸띵라이크,,,,,,,
정인구팥빵,대전 서구 계룡로 670-1 1층(용문점),팥빵,,,08:00~23:00,,
이프리,,,,,,,
레서 케이커리,,,,,,,
작은숩과자집,,,,,,,
캘리포니아베이커리,대전 서구 둔산남로91번길 13(둔산본점),,,,월~토 08:00~23:00/일 08:00~22:00,,
마마꿍,,,,,,,
쿠피,,,,,,,
라드커피8호점,,,,,,,
카페메이데이,,,,,,,
블루보이즈,,,,,,,
굿베이커리,대전 동구 가양동 402번길 1 타임빌딩,쌀식빵·비건찰떡빵·올리브치즈치아바타,,,,,
스무하루,,,,,,,
길티쿠키,,,,,,,
페이머스,,,,,,,
브린,,,,,,,
모두비,,,,,,,
솜솜,,,,,,,
마이쿠키리스트,,,,,,,
라무킷도,,,,,,,
쿠키벨리,,,,,,,
다다제과점,,,,,,,
제피,,,,,,,
스윗투스,,,,,,,
꿈1993,,,,,,,
점선면,,,,,,,
싶빵공장,,,,,,,
파이가든,,,,,,,
달지디저트카페,,,,,,,
베이크어웨이,,,,,,,
미미제과점,,,,,,,
달케디저트,,,,,,,
빵드슈,,,,,,,
노마드오븐,,,,,,,
비비스 미트파이 오븐,,,,,,,
다르코봉봉,,,,,,,
당당베이커리,,,,,,,
꾸꾸,,,,,,,
휘어(Hwier),,,,,,,
오프위고,,,,,,,
리피피,,,,,,,
조아유즈,,,,,,,
두담브레드,,,,,,,
카페22도,,,,,,,
엔티비알(NTBR),,,,,,,
늘구움,,,,,,,
